stage,target,feature,ref,auc,lo,hi,n_pos,n_neg
N3,gen_pathologic,rel_delta,R_routine,0.5234824288110852,0.49608101759629036,0.5492759612524908,2905,395
N3,gen_pathologic,rel_delta,O_overnight,0.44821194361532934,0.4202848162911129,0.4758234990243216,2905,395
N3,gen_pathologic,rel_delta,U_union,0.45511405477243516,0.42645226144266535,0.48248816020350976,2905,395
N3,focal,TAR,R_routine,0.6459917420390978,0.6157370557751443,0.670535308631358,2333,395
N3,focal,TAR,O_overnight,0.517662378531472,0.4897908197173936,0.5471203639022502,2333,395
N3,focal,TAR,U_union,0.5238108156499753,0.49449504790115295,0.5557040380513968,2333,395
N3,focal,DAR,R_routine,0.6976468609439685,0.6708054713901347,0.7238888833393768,2333,395
N3,focal,DAR,O_overnight,0.6057914240913259,0.5784771324647223,0.6370134002515672,2333,395
N3,focal,DAR,U_union,0.6071120467480888,0.5753244118837764,0.6344267716832258,2333,395
N3,focal,log_delta,R_routine,0.6544916904946638,0.6258101296462683,0.6814085108240844,2333,395
N3,focal,log_delta,O_overnight,0.5384809041436299,0.5071744673712898,0.566684153960697,2333,395
N3,focal,log_delta,U_union,0.5480280184691846,0.5205679012260348,0.5784221036881464,2333,395
N3,focal,log_theta,R_routine,0.5708746819165849,0.5420459758477811,0.5964525522475472,2333,395
N3,focal,log_theta,O_overnight,0.45645037898723323,0.4277611908390138,0.4834734044505484,2333,395
N3,focal,log_theta,U_union,0.46908147818585294,0.43743811842710606,0.4988188953315767,2333,395
N3,focal,rel_delta,R_routine,0.5001144829008122,0.4752693898143563,0.5306848097116119,2333,395
N3,focal,rel_delta,O_overnight,0.4314583819388303,0.4016358680918903,0.4622464320594125,2333,395
N3,focal,rel_delta,U_union,0.4376578209183591,0.40866107058454054,0.4660347586484469,2333,395
REM,abnormal,TAR,R_routine,0.7315608876756531,0.7180920304001163,0.7472550318571677,4253,1230
REM,abnormal,TAR,O_overnight,0.684091764971259,0.668539017934481,0.7018479840371762,4253,1230
REM,abnormal,TAR,U_union,0.6848990382685394,0.6686877484342336,0.7015213006950073,4253,1230
